"","GSPC","CALM","ROLL","SYNA","EXAS","TSRA","UFPI","POWI","SAFM","WERN","ARLP","NXST","IIVI","STMP","MNRO","HTLD","SKYW","NXTM","NTGR","AHGP","SFLY","ISCA","EGOV","MANT","SYNT","COKE","WDFC","NAVG","CSQ","FOSL","PLCE","SCHL","EXLS","ABCB","ASTE","TTMI","IRBT","PRAA","BOFI","OSIS","CENT","RMBS","GIII","CCMP","PRGS","HUBG","HMSY","ROCK","ININ","CSGS","CNSL"
"23",14.7436,14.706914,40.897999,32.459999,8.49,15.209981,26.524828,33.825966,47.422375,21.002087,24.457403,7.432184,19.57,27.370001,38.222736,12.452769,11.412487,19.58,37.990002,34.16032,27.08,23.591066,11.336428,29.393362,14.821556,52.840496,37.495941,46.5583,5.457871,89.589996,52.386559,24.898607,26.6,9.80233,31.088036,11.01,31.75,23.123329,4.02,47.810001,8.65,7.98,9.215,29.207523,20.370001,29.780001,30.33,13.55,22.299999,14.047511,12.583496
"24",14.0342,15.883988,40.365601,30.15,8.12,14.683987,29.38003,31.910923,46.187756,21.593443,25.871109,7.329349,18.360001,26.129999,37.014076,12.960472,11.882322,17.780001,33.57,35.036572,22.76,24.310307,11.846765,27.16712,14.508451,55.246624,36.590462,47.545509,5.480512,79.360001,51.657211,27.565987,22.370001,10.076796,29.935593,10.96,29.85,22.50667,4.0625,48.779999,8.16,7.55,12.455,33.198353,19.35,32.43,31.98,13.96,22.92,13.621549,12.978646
"25",16.4752,16.62184,43.831039,38.299999,9.34,17.357786,30.236589,34.624699,46.934055,23.460602,27.161583,7.918314,23.01,31.01,40.019855,13.441161,12.080519,17.940001,39.849998,36.229622,23.73,24.732262,11.134713,30.558661,14.554981,57.558395,39.888893,47.645226,5.920265,95.050003,48.516159,27.261703,24.139999,10.488493,31.431908,12.27,33.040001,21.65,4.1775,53.73,8.78,7.29,11.43,35.425625,23.33,34.23,33.009998,15.67,25.809999,15.066118,13.20735
"26",17.3814,16.867182,44.053677,36.75,9.39,14.727819,30.58873,35.941341,45.487427,21.745724,24.879633,7.712644,23.389999,25.85,43.769928,13.123725,10.778088,20,37.57,34.323956,27.360001,24.128099,10.760885,29.167261,15.882674,61.054539,39.287003,46.877399,6.453718,121.980003,49.352478,28.240944,27.84,11.292285,35.270283,11.71,25.52,23.24333,4.0975,59,9.06,7.08,12.46,35.306183,23.219999,35.630001,32.220001,13.82,28,14.825356,13.193439
"27",17.7325,16.762033,44.653839,36.509998,11.16,15.122314,32.815788,35.767895,49.028416,22.320343,20.834135,7.768736,23.65,27.879999,39.669254,13.132212,10.466434,19.27,38.200001,29.711948,31.33,26.611874,10.814289,30.157497,17.390657,59.443851,41.357136,47.106754,6.66048,131.979996,50.247139,32.592098,27.440001,12.880262,33.904079,11.51,27.26,23.90667,4.27,61.299999,9.41,6.45,14.21,38.416161,23.620001,36.029999,31.209999,15.15,30.51,14.019732,13.652462
"28",17.8405,15.949002,45.379841,30.709999,10.77,13.710899,35.594852,36.500214,47.715572,21.250891,22.387163,7.245211,20.41,29.030001,39.449345,12.560061,8.515224,17,38.5,30.530649,31.16,25.595348,10.048833,27.497057,18.598686,60.779774,41.382301,47.366016,6.628739,130.669998,44.713829,28.336508,27.68,12.154889,29.080557,10.33,23.610001,22.940001,4.4425,66.860001,10.58,5.09,13.425,33.969845,23.139999,35,24.059999,13.52,29.66,13.334486,13.737538
"29",17.0063,15.7321,44.915203,26.82,9.88,11.998489,36.021034,39.370667,50.965553,21.898674,20.090721,6.198161,18.9,24.559999,32.402126,12.932413,6.677679,15.19,31.389999,28.798712,27.57,23.25235,9.675006,19.078161,17.359602,58.282692,42.942856,48.313339,6.271301,73.160004,44.704105,24.997347,21.67,11.145249,25.511705,9.24,21.18,23.036671,4.695,63.82,9.02,4.81,12.355,30.966112,19.219999,34.959999,26.790001,10.22,25.799999,15.279099,10.471766
"30",16.106,17.307964,45.7864,28.629999,10.72,13.570036,37.293488,35.984459,42.50531,21.540413,19.777079,6.300996,16.67,24.67,31.874718,13.014485,6.223262,16.76,34.509998,28.736362,30.690001,25.322233,11.303824,20.705114,18.869995,61.145931,45.724323,49.908825,6.571342,76.540001,48.457813,26.101124,24.639999,12.350936,28.51363,9.39,22.15,30.42,4.94,63.34,10.38,5.74,11.845,28.861523,20.870001,36.130001,33.310001,10.38,28.209999,16.001385,10.507264
"31",17.6618,16.701523,45.341122,26.379999,10.25,12.757775,30.548515,33.997116,34.165661,20.810076,21.581404,6.095325,17.440001,21.15,31.711699,12.641603,6.671184,15.05,34.630001,33.086994,32.830002,24.799925,11.980274,19.371294,18.071051,63.895027,44.378544,48.293396,6.790998,71.690002,49.4011,27.946939,24.65,11.703981,27.138136,10.94,22.76,28.226669,5.0425,64.540001,10.74,4.2,12.285,29.049255,19.440001,29.75,34.41,9.52,26.08,16.325485,11.518834
"32",18.7908,18.02758,44.518322,30.42,9.93,13.573709,36.767284,33.466469,41.021389,20.061707,22.205715,8.095939,18.6,22.139999,32.45966,11.841272,8.358041,12.75,36.57,34.031944,29.75,25.738146,12.843637,19.786457,18.123899,65.537277,45.080475,48.423031,6.921379,84.949997,55.372017,28.448404,25.77,11.635365,27.258955,10.6,25.190001,33.450001,5.8875,74.099998,11.35,4.28,15.87,32.873089,19.23,30.1,34.459999,10.93,29.559999,19.640587,11.823874
