"","GSPC","IDXX","SGEN","NTAP","TSCO","FFIV","SNPS","WYNN","VRSN","LULU","STLD","ANSS","SBNY","OTEX","ALGN","SEIC","TRMB","ODFL","BBBY","JKHY","AGNC","SRCL","JBLU","CPRT","MKTX","CSGP","BEAV","LAMR","ULTI","SPLS","FTNT","DXCM","UTHR","OZRK","IPGP","BRCD","WOOF","ARCC","CGNX","FLIR","PDCO","EXEL","CASY","NBIX","URBN","TTWO","COLM","ATHN","VSAT","POOL","ALNY"
"11",17.4816,32.105,15.1,47.430435,20.150923,131.880005,25.690001,78.187286,29.134375,26.809999,13.57911,48.5,43.900002,20.193962,17.49,20.666338,18.620001,19.253334,43.486298,25.217772,11.632465,73.900002,6.8,17.74,17.005972,52.740002,24.915722,32.150127,43.869999,17.832928,15.935,11.28,62.93,8.632468,28.66,4.77142,21.85,9.338587,13.120943,24.8412,26.771965,5.79,37.322205,7.28,37.790001,11.07,25.578636,41.009998,41.360001,19.308386,9.15
"12",17.3584,34.610001,14.95,51.183517,23.007257,130.160004,26.91,80.306305,30.188847,34.209999,15.62499,52.07,50.060001,21.839256,19.540001,21.864553,19.965,21.326666,48.864918,26.887272,11.973116,80.919998,6.61,18.674999,19.455429,57.560001,25.989552,34.853363,48.630001,18.522852,16.174999,13.65,63.220001,9.876419,31.620001,5.068437,23.290001,9.544147,13.820914,27.565302,27.582418,8.21,39.923672,7.64,35.810001,12.27,27.720915,40.98,44.41,20.538511,9.86
"13",18.153,35.849998,16.389999,50.969322,24.345274,108.379997,27.129999,89.965652,31.094423,34.34,15.53961,52.450001,52.240002,23.418169,20.83,21.276352,23.040001,21.446667,47.721584,27.265446,11.952287,78.489998,6,19.625,18.819691,56.279999,27.154627,32.228863,48.599998,18.148653,19.225,14.11,67.980003,9.86529,34.650002,5.403778,22.92,9.72368,14.722891,28.760571,29.866648,8.67,40.030308,7.38,33.82,12.48,28.033524,42.939999,43.400002,22.215122,10.33
"14",18.667,38.849998,14.85,48.110275,24.738565,118.010002,27.719999,95.069862,32.609871,38.794998,15.761602,56.32,51.889999,27.936798,20.85,21.147682,24.575001,20.513334,47.870716,29.529715,12.268904,86.419998,5.7,21.004999,20.081699,56.669998,23.666428,33.91729,53.439999,17.327042,20.42,14.63,67.43,9.846991,56.919998,6.103202,25.040001,10.325979,13.111547,29.983879,30.155737,12.45,38.692505,6.75,38.380001,16.07,28.956213,45.34,41.610001,22.74362,10.98
"15",18.6047,38.610001,15.57,44.841457,28.439611,102.57,27.65,98.341202,33.459999,44.525002,16.112223,54.189999,56.400002,29.548903,20.48,21.947269,25.27,23.393333,47.990021,31.362019,12.720407,88.669998,6.27,21.665001,22.71044,62.68,24.936773,32.316345,58.75,15.877695,22.075001,15.52,67.019997,9.997955,57.68,5.892417,25.17,10.015743,13.310888,32.128239,29.080681,11.33,36.742336,7.59,29.83,15.37,27.402103,45.130001,39.84,22.084026,9.56
"16",18.9392,40.715,16.610001,48.529354,29.394566,101.360001,27.389999,114.192627,34.17152,50.025002,15.614348,55.290001,58.209999,29.017857,24.139999,20.53191,23.42,24.946667,55.804428,31.436052,12.707312,91.279999,5.66,22.690001,22.860653,68.010002,27.084442,28.449583,56,17.283958,24.35,16.65,66.959999,10.226634,69.459999,5.988229,24.6,10.464826,14.738569,32.694496,31.470675,12.26,36.896477,7.69,31.469999,16.18,31.35424,46.209999,39.919998,27.717239,10.26
"17",18.1287,39.360001,19.370001,51.006577,30.066374,113.580002,27.34,113.703735,35.02,45.400002,14.678689,57.369999,56.919998,30.938156,24.5,21.726694,21.844999,24.886667,53.577419,29.007944,13.257337,89.089996,6.07,23.5,22.586447,63.099998,26.263279,25.405163,56.380001,13.751947,24.245001,15.77,64.57,11.163635,75.150002,6.390638,24.450001,9.938926,16.628008,33.613724,31.361876,11.63,39.184193,8.25,30.459999,16.389999,30.35117,44.77,44.27,27.827454,10.47
"18",18.9392,38.779999,20.52,49.153313,31.837223,110.25,25.709999,111.391159,33.459999,55.91,14.038464,54.669998,57.200001,30.354952,22.799999,20.802607,19.82,24.866667,58.031437,27.865828,13.333729,89.120003,6.1,23.299999,23.623386,59.279999,28.642553,23.944191,54.43,13.002104,27.290001,14.49,55.099998,11.955953,72.709999,6.189433,21.200001,9.699523,16.736658,31.34491,29.820528,8.96,41.594803,8.05,28.15,15.28,29.333296,41.099998,43.27,27.431759,9.37
"19",17.582,41.470001,17.030001,44.254745,31.38023,93.480003,23.969999,119.623428,31.209999,60.540001,13.494203,50.599998,59.16,32.033436,21.99,18.279678,17.790001,24.700001,58.150742,26.881563,12.788653,82.120003,4.79,21.725,24.632048,58.759998,27.933687,22.273258,54.380001,13.216062,20.32,14.18,57.380001,11.9743,60.189999,5.250479,19.540001,9.741773,16.037525,25.533409,28.061382,7.7,42.682728,7.73,32.540001,13.49,26.557274,58.790001,44.93,24.615885,9.38
"20",16.4284,39.889999,17.389999,35.035007,29.276606,81.57,25.879999,120.432961,31.15,54.73,10.997516,53.98,55.619999,27.974731,19.1,15.8122,18.57,21.413334,56.530193,27.150843,13.058901,87.709999,4.35,21.52,27.897253,51.18,24.445486,18.292767,50.59,12.12981,19.129999,12.03,43.150002,10.473766,57.98,3.707911,18.51,9.174409,15.154523,24.11566,26.587341,7.48,42.682728,6.14,26.18,13.22,24.476233,57.990002,35.5,24.003942,6.98
