"","GSPC","ADBE","AKAM","ALXN","AMGN","AMAT","BMRN","CHRW","CELG","CERN","CTAS","CSCO","CTXS","CME","CTSH","XRAY","DISH","DLTR","EBAY","EQIX","ESRX","FAST","FISV","GILD","HSIC","HOLX","ILMN","INTU","ISRG","KLAC","LRCX","LLTC","MXIM","MCHP","NFLX","NVDA","ORLY","PAYX","QCOM","REGN","ROST","SBAC","SBUX","SYMC","TROW","AMTD","PCLN","ULTA","VRSK","VRTX","XLNX"
"22",15.856,29.41,26.940001,67.510002,51.784996,10.95951,34.110001,61.770721,32.415001,31.715,27.142984,16.036268,72.830002,42.9744,36.375,35.947384,21.67696,39.98,13.396464,87.540329,45.77,33.664883,29.434999,20.248501,69.32,16.120001,30.620001,50.802864,433.859985,32.300407,41.624432,28.009069,22.104706,30.304411,11.725715,13.795252,76.050003,24.399029,45.837288,55.299999,20.877897,38.09,19.663567,12.546812,45.74939,14.650931,507.720001,66.545395,35.150002,39.59,29.412052
"23",14.7436,27.42,28.91,68.660004,52.620701,9.658376,34.619999,60.952213,31.540001,30.49,28.116287,16.131464,71.389999,38.875954,33.674999,35.12067,23.906305,40.744999,12.453704,91.196579,45.650002,36.811302,28.83,19.368765,64.339996,17.610001,27.82,50.39584,434.209991,31.854532,39.474945,26.75316,21.859516,29.521196,9.218572,14.568905,77.239998,24.373911,48.868645,59.419998,21.256344,40.889999,20.262403,12.059987,49.143364,14.223104,485.890015,68.859497,39.279999,28.99,28.920055
"24",14.0342,28.27,32.279999,71.5,58.34528,9.595659,34.380001,62.390835,33.799999,30.625,32.195,15.646828,60.720001,38.225075,32.154999,34.084118,27.710686,41.555,12.765152,92.454842,44.689999,38.543594,29.370001,19.89369,64.43,17.51,30.48,49.78056,463.01001,33.340157,35.844067,26.229103,22.191885,30.975695,9.898571,12.919066,79.949997,25.211214,48.779469,55.43,22.68075,42.959999,21.441425,11.543656,49.573013,13.664307,467.709991,64.201622,40.130001,33.209999,28.345369
"25",16.4752,30.950001,32.23,76.760002,61.72551,11.002306,35.639999,61.550369,36.345001,30.445,34.303722,17.062162,65.199997,37.572483,35.875,36.762924,27.165813,42.400002,13.299664,109.377541,51.16,41.407703,31.445,23.748001,70.889999,20.389999,51.860001,53.57785,459.910004,35.316383,41.237133,29.111423,22.873661,31.204016,17.171429,13.767289,81.510002,26.648352,52.453533,90.860001,24.2507,45.720001,22.331516,12.679583,50.347725,14.117813,529.48999,75.307358,40.060001,36.950001,31.696239
"26",17.3814,32.889999,36,83.730003,62.130253,11.043439,35.75,59.456211,36.66,36.915001,35.663292,17.261871,74.739998,45.41296,35.474998,37.707806,28.382048,44.255001,15.042088,127.813797,53.330002,46.73003,33.150002,22.134344,74.019997,20.73,51.25,54.906857,511.619995,33.675827,40.375404,29.46204,23.952488,30.794981,15.818571,14.12149,86.5,26.470751,55.640713,104.790001,25.517277,46.93,22.709665,13.159031,53.611973,16.36124,627.02002,82.318893,43.5,38.919998,32.820007
"27",17.7325,34.310001,36.700001,92.860001,62.093708,11.22374,34.25,58.845203,38.759998,38.080002,36.181221,18.364616,78.910004,46.268021,38.474998,39.144749,32.040482,47.244999,15.530303,143.560303,54.18,47.989647,34.695,23.748001,75.68,21.549999,52.610001,57.109207,541.75,37.872257,43.202652,29.65564,24.553663,31.759726,16.434286,14.354519,91.349998,26.208582,60.902328,116.620003,27.799618,50.810001,26.137627,13.79338,57.152863,17.298922,717.5,92.889999,46.970001,41.009998,32.420086
"28",17.8405,33.549999,32.59,90.32,64.962242,10.809048,34.700001,53.678619,36.465,40.555,36.227467,17.571335,85.610001,42.508434,36.665001,40.051918,31.106413,50.830002,17.264309,149.714844,55.790001,41.68047,35.145,25.283894,76.739998,19.120001,44.529999,55.169628,578.200012,36.278591,40.346355,28.784449,25.403894,30.197351,11.448571,12.117451,105.5,26.200125,57.117191,135.259995,29.426447,53.790001,26.829767,12.200134,55.244846,16.519489,760.820007,88.18,48.950001,38.48,32.331219
"29",17.0063,31.049999,29.34,90.57,63.834373,9.391842,35.639999,52.634605,34.125,38.98,34.127995,14.23313,73.080002,41.18914,29.125,36.091595,27.282574,51.59,16.494108,148.720993,52.189999,39.374779,33.715,24.277788,74.309998,16.76,43.060001,53.51368,523.099976,32.118958,36.11517,25.75074,21.788385,26.779184,9.062857,11.586147,95.790001,25.613548,51.503391,135.649994,30.254215,51.950001,25.748751,10.94619,50.404797,15.086452,625.48999,89.370003,47.900002,60.040001,28.601309
"30",16.106,32.369999,31.75,99.300003,66.947128,10.410125,39.580002,52.878532,32.080002,41.330002,35.709534,14.965269,83.940002,43.234131,30,36.937168,27.778795,53.799999,17.680977,160.154755,55.830002,35.88509,36.110001,24.924223,78.489998,18.040001,40.389999,56.48296,553.789978,34.515789,36.541195,27.800507,22.204062,28.557558,9.784286,12.881783,83.769997,26.844229,50.03854,114.220001,29.956902,57.049999,25.012268,10.776538,55.429008,14.945786,664.52002,93.379997,49.259998,55.919998,30.032717
"31",17.6618,30.879999,35.18,104.849998,75.844643,9.900984,39.290001,47.746975,34.23,36.959999,36.652912,13.967,72.68,42.015041,28.385,35.501102,29.929098,50.34,18.644781,162.461563,57.939999,38.557632,35.064999,26.406651,74.809998,18.52,41.470001,55.355785,481.5,35.679165,33.316971,28.616863,23.580992,28.816544,8.121428,12.620791,85.739998,28.211067,53.633263,134.649994,31.860678,59.060001,21.240725,11.617418,53.48336,14.049373,661.73999,84.879997,50.25,48.509998,28.986002
"32",18.7908,31.27,37.509998,107.209999,77.395523,10.708846,37.34,51.143925,36.02,36.57,37.383564,16.707861,77.690002,44.264553,32.139999,35.43272,31.125874,48.169998,19.978956,180.213989,62.619999,38.530807,35.654999,28.039749,76.809998,19.629999,42.080002,55.85191,491.790009,36.233421,33.045868,29.53076,23.700556,30.296873,8.531428,13.077526,84.949997,28.702969,55.232914,148.050003,33.246315,59.779999,23.362366,13.151655,54.090824,15.099545,604.570007,94,48.52,53.330002,30.538282
"33",18.5901,32.439999,38.259998,114.400002,77.736755,10.232491,40.259998,53.233917,38.200001,38.695,38.317692,16.725374,76.529999,46.570446,34.945,37.313885,29.783152,48.290001,20.357744,187.872986,62.630001,38.441387,37.014999,32.239151,79.220001,20.219999,48.189999,56.176296,495.630005,33.691219,30.770514,28.44895,23.246456,28.544451,7.777143,12.434369,83.620003,28.728861,56.372341,152.660004,31.035978,62.900002,23.880379,13.262297,56.029526,13.563998,619.070007,96.309998,47.610001,55.889999,30.087999
"34",18.7035,34.029999,37.990002,90.379997,79.765709,9.710332,37.009998,54.806034,36.674999,38.095001,38.669144,15.129052,61.779999,45.464912,33.325001,36.042046,34.667549,39.869999,20.311447,164.658966,61.540001,40.16338,37.43,32.652287,73.75,20.620001,47.5,56.859318,542.219971,32.872066,34.275524,27.948277,24.041132,27.323856,11.32,11.166697,85.849998,28.261274,52.889114,142.300003,29.286934,66.360001,21.615252,13.417196,57.428051,13.846397,573.77002,92.190002,51.119999,48.279999,29.511635
"35",18.001,34.610001,36.619999,96.019997,82.242325,9.917356,48.5,56.10553,39.294998,38.610001,38.922886,16.805092,61.16,44.928406,33.615002,38.840099,36.039463,41.740002,22.23064,169.372894,53.849998,37.566685,38.494999,36.453133,80.769997,19.08,53.709999,57.318554,529,32.396549,34.004417,29.904842,25.719208,26.843472,11.672857,11.22936,94.080002,28.365883,57.410088,176.550003,27.42737,68.82,24.528282,13.837636,57.242172,14.374833,663.190002,100.279999,49.84,39.790001,31.412926
"36",18.0349,37.68,40.91,93.739998,79.834328,10.573585,49.200001,57.7771,39.235001,38.755001,38.415688,17.462721,65.620003,42.578999,36.939999,38.805283,36.400002,40.560001,21.464647,188.00975,54,42.417934,39.514999,35.699768,80.419998,20.01,55.59,56.907154,490.369995,34.02813,34.982338,31.139923,25.904238,28.758343,13.227143,11.501416,89.419998,27.648573,56.042625,171.070007,26.054556,70.980003,25.360552,13.881892,57.941345,15.361629,620.390015,98.260002,50.970001,41.900002,32.509884
"37",19.9491,37.830002,40.709999,93.989998,79.148972,11.932254,54.889999,60.454842,49.48,41.275002,39.693077,18.280313,73.160004,48.604092,39.09,40.911602,37.259998,39.990002,23.556396,196.425507,53.419998,45.264477,40.154999,38.348698,86.339996,23.84,50.630001,59.845047,574.380005,39.122375,39.833195,33.246181,27.710487,29.517231,23.605715,11.501416,92.650002,29.026558,59.811409,173.940002,28.756832,69.650002,26.538023,16.057854,63.537952,17.801495,685.469971,97.82,55.16,44.779999,33.081028
"38",20.4111,39.310001,36.959999,86.739998,85.251015,12.754307,57.970001,52.438747,51.634998,43.73,41.233467,18.538034,70.900002,50.141876,38.384998,40.57851,34.799999,45.189999,23.026094,192.887787,56.93,47.041164,41.119999,41.527412,89.220001,21.82,50.130001,61.850113,509.890015,39.29314,40.956345,34.726009,27.691975,32.491482,26.868572,11.949529,101.790001,29.435507,59.467148,167,28.017435,71.120003,26.034939,17.289669,63.342205,17.452625,689.109985,88.559998,58.470001,46.82,33.989388
"39",20.7532,43.52,35.32,92.139999,95.456924,12.540339,62.259998,54.682705,57.955002,47.369999,41.449493,18.57358,72.150002,51.983597,38.310001,41.640743,37.900002,48.43,22.819866,197.227875,57.619999,46.767826,43.93,47.573769,92.550003,22.6,54,62.991756,491.190002,37.843689,40.143028,34.834953,28.970066,32.758755,27.040001,12.109988,102.440002,31.1691,60.868782,176.399994,29.283051,72,27.031719,18.204309,66.954865,18.930729,688.159973,81.169998,61.619999,54.970001,34.810165
"40",20.8012,45.080002,43.91,98,97.039955,13.498541,65.599998,54.618328,59.035,48.384998,42.144547,18.741642,62.16,51.518021,32.400002,41.552441,39.189999,47.560001,22.049664,195.212845,59.369999,44.870239,45.555,49.226311,90.400002,20.370001,64.690002,57.367683,492.290009,38.927189,44.751827,33.137238,27.452333,32.446934,30.867144,12.997236,107.32,32.369278,56.013096,215.139999,31.915724,78.989998,28.878136,17.924017,64.835419,18.363476,695.98999,87.650002,61.290001,76.82,34.573051
"41",21.3802,42.91,46.119999,97.580002,94.026596,14.235921,62.700001,52.144459,61.825001,49.080002,42.877171,21.608433,64.379997,57.502781,32.325001,40.973549,38.540001,48.040001,22.76936,184.763794,62.119999,47.733521,43.580002,52.959114,96.290001,20.75,70.32,56.213402,497.529999,40.688538,45.294037,34.306271,26.374491,32.808571,32.32143,13.72733,108.849998,33.098274,57.722588,241.880005,31.07037,75.269997,30.070917,16.515173,67.884918,21.61928,803.929993,90.760002,58.82,80.330002,37.313789
"42",20.7752,45.560001,42.549999,92.239998,92.277573,13.97368,55.740002,52.108589,58.490002,48.044998,42.773849,21.805525,60.360001,64.712097,31.32,40.251637,42.52,50.84,21.767677,168.424637,61.740002,41.888039,43.705002,49.838726,95.739998,19.299999,74.839996,58.714344,506.130005,40.283749,42.931545,33.675541,24.845146,33.501076,30.155714,13.319399,112.620003,32.458179,55.857327,224.880005,31.390896,74.120003,31.19965,16.693546,65.792732,22.403257,826.669983,100.120003,59.700001,80.059998,36.359146
"43",20.8149,47.279999,47.200001,116.190002,101.284592,15.284883,64.650002,55.171619,73.43,49,44.624187,23.086609,72.019997,63.101753,36.195,42.138432,44.650002,53.650002,21.755051,163.528366,65.550003,45.093655,48.119999,59.685932,103.830002,22.700001,79.82,61.652172,388,42.379978,47.656536,37.06686,25.58746,35.740479,34.925713,13.698869,125.300003,35.378326,59.030102,270.059998,32.688961,74.089996,33.952419,19.812449,67.626297,25.014744,875.669983,100.900002,64.360001,79.800003,42.858074
"44",19.2507,45.75,45.98,107.760002,102.338486,14.148962,65.470001,52.626804,69.989998,46.060001,44.859001,21.029655,70.769997,60.588249,36.650002,41.263824,44.959999,52.700001,21.039562,158.413269,63.880001,40.45829,48.134998,58.587479,101.050003,21.34,77.839996,61.276009,386.519989,40.169071,45.187531,35.2649,25.134729,35.219635,40.558571,14.063511,122.709999,34.696598,60.922409,242.309998,32.57756,75,33.681316,19.128056,63.042381,23.75614,938.530029,99.239998,62.18,75.150002,40.071842
"45",17.7303,51.939999,51.700001,116.160004,105.137901,16.524405,72.169998,55.481865,77.07,52.549999,48.090054,21.137917,70.610001,63.336853,41.060001,42.720543,45.009998,57.16,23.484848,167.44902,61.799999,46.234104,50.525002,61.114891,103.769997,20.65,80.830002,63.957378,376.269989,44.320724,49.573639,36.488544,26.922329,36.562717,44.172855,14.835813,127.589996,36.45475,61.878345,312.869995,35.349052,80.459999,36.761929,18.485722,64.99408,24.228117,1010.950012,119.459999,64.959999,75.82,43.237354
